indiv id,original_time(ms),original_result_size,original_nb indiv,original_nodes,severin ok, soft diff,tasks_time(ms),tasks_result_size,tasks_nb indiv,severin ok, soft diff,CR_time(ms),CR_result_size,CR_nb indiv,CR_nodes,severin ok, soft diff
table_O_0,0.478838,3,1,8,1,1,2.374376,3,2,0,1,0.017672,1,1,2,1,1
table_l_1,0.425897,3,2,12,0,1,0.802616,3,2,0,1,1.399296,3,1,12,1,1
room_B_table_0,0.245021,2,1,4,1,1,0.409597,2,1,1,1,1.607748,3,1,17,1,1
drawer_O_0,0.013237,1,1,2,1,1,4.22667,3,2,0,1,2.316866,3,2,19,0,1
chair_O_1,0.317905,3,1,5,1,1,1.538461,3,2,0,1,1.802689,4,2,20,0,1
room_B_chair_2,0.435847,3,1,9,1,1,1.945553,3,1,1,1,3.129251,4,2,33,0,1
room_B_chair_1,0.474871,3,2,10,0,1,0.446526,2,1,1,1,0.220344,2,1,4,1,1
room_B_chair_0,0.546668,4,2,10,0,1,5.849635,3,2,0,1,1.257307,3,2,15,0,1
coat_hanger_l_0,0.066575,2,1,3,1,1,3.277662,2,1,1,1,5.447168,4,2,30,0,1
box_O_5,0.619296,4,2,5,0,1,0.735108,3,2,0,1,18.904949,4,2,95,0,1
couch_l_0,0.013508,1,1,2,1,1,7.014069,5,2,0,1,2.777132,3,2,15,0,1
food_container_l_0,1.322064,2,1,5,1,1,0.464758,2,1,1,1,0.932277,2,1,6,1,1
room_B_book_13,2.979439,5,2,20,0,1,0.772256,3,1,1,1,4.937895,4,2,25,0,1
room_B_book_12,3.559328,5,2,23,0,1,5.927248,4,2,0,1,1.951084,3,2,12,0,1
chair_O_0,0.149172,2,1,3,1,1,15.155928,4,2,0,1,1.514405,3,2,12,0,1
room_B_book_11,0.869473,2,1,4,1,1,4.2213,3,2,0,1,2.772374,3,2,18,0,1
room_B_book_10,1.668816,2,1,10,1,1,5.099002,3,2,0,1,7.154199,4,2,48,0,1
room_B_book_9,0.758528,2,1,4,1,1,6.329725,3,2,0,1,4.984035,4,2,34,0,1
room_B_book_8,0.641222,2,1,4,1,1,1.015293,2,1,1,1,0.016982,1,1,2,1,1
room_B_book_7,3.029112,5,2,20,0,1,1.012234,3,2,0,1,7.494356,4,2,20,0,1
room_B_book_5,3.558096,5,2,23,0,1,20.715389,5,2,0,1,0.11939,2,1,5,1,1
table_l_0,0.516371,3,1,15,1,1,2.745053,5,3,0,1,0.017394,1,1,2,1,1
room_B_book_3,4.698687,4,2,27,0,1,5.893492,4,2,0,1,6.954328,3,2,25,0,1
room_B_book_6,0.799378,2,1,4,1,1,14.022109,4,2,0,1,4.94336,4,2,37,0,1
room_B_box_2,0.407418,3,1,5,1,1,0.131283,2,1,1,1,8.645581,4,2,38,0,1
bottle_l_0,0.139627,4,2,6,0,1,2.312981,2,1,1,1,0.099736,2,1,4,1,1
box_l_4,0.617972,3,2,10,0,1,7.198431,4,2,0,1,11.037728,5,2,40,0,1
room_B_book_1,5.771545,4,2,34,0,1,18.066069,5,2,0,1,0.016902,1,1,2,1,1
shelf_O_0,0.42869,3,2,10,0,1,0.586629,2,1,1,1,1.63053,2,1,8,1,1
cup_O_4,2.105825,4,2,26,0,1,0.012952,1,1,1,1,20.767796,4,2,83,0,1
cup_O_3,3.034582,4,2,36,0,1,0.141727,2,1,1,1,0.591754,4,2,16,0,1
cup_O_5,1.018651,3,2,10,0,1,1.119924,4,2,0,1,0.952758,3,2,11,0,1
box_l_5,0.564576,3,2,9,0,1,28.865629,4,2,0,1,13.825704,5,2,53,0,1
room_B_book_2,1.035305,3,1,7,1,1,4.470673,3,2,0,1,1.087856,3,1,13,1,1
cup_O_0,0.764456,3,2,8,0,1,15.685247,5,2,0,1,0.390474,2,1,6,1,1
room_B_box_1,0.361131,2,1,4,1,1,0.01316,1,1,1,1,45.716713,6,3,152,0,1
box_l_0,0.193782,2,1,3,1,1,5.911679,2,1,1,1,0.138173,2,1,4,1,1
room_B_shelf_3,2.001844,4,2,26,0,1,2.270701,3,1,1,1,4.244997,3,1,17,1,1
room_B_cup_6,1.952396,3,2,15,0,1,18.002239,5,2,0,1,0.26145,2,1,4,1,1
lamp_O_2,0.343764,3,2,7,0,1,0.82642,3,1,1,1,1.323878,2,1,6,1,1
shelf_O_1,0.478794,2,1,9,1,1,5.968753,3,1,1,1,1.284837,2,1,6,1,1
room_B_bed_0,0.013346,1,1,2,1,1,3.575444,3,2,0,1,1.203315,2,1,6,1,1
room_B_cup_1,1.030775,4,2,10,0,1,1.144243,3,2,0,1,13.210673,5,2,51,0,1
TV_O_0,0.132627,5,3,7,0,1,18.389738,5,2,0,1,0.104184,2,1,4,1,1
chair_l_0,0.226579,2,1,4,1,1,0.175575,2,1,1,1,0.104204,2,1,4,1,1
room_B_cup_2,2.454008,5,2,21,0,1,0.131024,2,1,1,1,13.855048,5,2,50,0,1
shelf_l_0,1.733897,4,2,21,0,1,15.880693,5,2,0,1,15.100975,5,2,75,0,1
room_B_cup_5,0.5239,2,1,4,1,1,0.013362,1,1,1,1,0.513965,3,2,10,0,1
room_B_cube_0,0.058384,2,1,3,1,1,16.105089,4,2,0,1,11.307087,5,2,40,0,1
room_l_book_0,0.423708,2,1,5,1,1,0.637827,2,1,1,1,3.003134,3,2,22,0,1
room_B_cup_4,2.55846,4,2,19,0,1,0.685999,2,1,1,1,0.207447,2,1,4,1,1
room_B_box_0,0.18311,2,1,3,1,1,20.141655,5,2,0,1,0.394767,2,1,4,1,1
room_B_cup_0,1.1184,4,2,10,0,1,0.127503,2,1,1,1,0.438766,2,1,5,1,1
room_B_book_4,3.922041,5,2,23,0,1,0.013202,1,1,1,1,6.427223,3,2,46,0,1
room_B_cube_1,0.060926,2,1,3,1,1,5.101856,4,2,0,1,12.628333,5,2,49,0,1
bottle_l_1,0.068305,2,1,4,1,1,0.953376,2,1,1,1,0.638314,3,1,14,1,1
cup_O_2,1.064564,4,2,11,0,1,0.409545,2,1,1,1,0.120015,2,1,5,1,1
TV_O_1,0.121472,3,2,6,0,1,7.298525,4,2,0,1,0.427859,2,1,6,1,1
room_B_cup_3,3.096267,5,2,27,0,1,0.780212,2,1,1,1,14.860561,5,2,77,0,1
lamp_O_1,0.185361,2,1,4,1,1,0.476698,2,1,1,1,7.687705,4,2,49,0,1
room_B_shelf_0,0.485909,2,1,6,1,1,0.694669,2,1,1,1,1.598254,3,2,14,0,1
box_l_1,0.217469,2,1,3,1,1,0.940093,3,1,1,1,0.596541,3,2,12,0,1
shelf_l_1,0.416069,3,2,7,0,1,0.941829,2,1,1,1,0.685916,2,1,8,1,1
box_l_2,1.361858,4,2,17,0,1,0.401585,2,1,1,1,0.628512,2,1,9,1,1
can_l_0,0.014065,1,1,2,1,1,0.508015,2,1,1,1,0.658631,3,1,12,1,1
box_l_3,1.1367,4,2,16,0,1,9.136083,4,2,0,1,1.363851,2,1,4,1,1
room_B_lamp_0,0.305946,3,2,8,0,1,0.013077,1,1,1,1,0.017147,1,1,2,1,1
room_B_lamp_1,0.111063,2,1,3,1,1,9.653615,4,2,0,1,0.112483,2,1,4,1,1
lamp_O_0,0.685341,5,2,13,0,1,70.577606,6,3,0,1,5.554281,4,2,29,0,1
table_O_1,0.941871,3,1,19,1,1,0.154667,2,1,1,1,1.733654,5,3,29,0,1
room_B_shelf_2,0.220443,2,1,4,1,1,7.610336,4,2,0,1,7.619192,4,2,35,0,1
room_B_coat_hanger_0,0.073927,2,1,3,1,1,0.178833,2,1,1,1,0.618058,2,1,4,1,1
room_B_book_0,6.405807,6,3,33,0,1,3.404545,4,2,0,1,0.578893,2,1,5,1,1
ball_l_0,0.067859,2,1,3,1,1,0.730637,2,1,1,1,0.621853,2,1,6,1,1
room_B_shelf_1,2.316131,3,2,35,0,1,0.509738,2,1,1,1,0.374592,2,1,4,1,1
fan_O_0,0.014185,1,1,2,1,1,3.391011,3,2,0,1,1.301659,2,1,6,1,1
ball_O_0,0.059308,2,1,3,1,1,1.442332,3,1,1,1,0.730397,3,1,8,1,1
